iter	Passed	Remaining
775	4724	1363
776	4727	1356
777	4731	1350
778	4734	1343
779	4737	1336
780	4740	1329
781	4742	1322
782	4746	1315
783	4749	1308
784	4753	1301
785	4756	1295
786	4760	1288
787	4763	1281
788	4766	1274
789	4768	1267
790	4771	1260
791	4774	1253
792	4777	1247
793	4780	1240
794	4784	1233
795	4787	1226
796	4790	1220
797	4793	1213
798	4796	1206
799	4799	1199
800	4802	1193
801	4805	1186
802	4808	1179
803	4811	1172
804	4814	1166
805	4817	1159
806	4820	1152
807	4823	1146
808	4826	1139
809	4829	1132
810	4832	1126
811	4835	1119
812	4839	1113
813	4841	1106
814	4844	1099
815	4847	1093
816	4853	1087
817	4856	1080
818	4859	1073
819	4861	1067
820	4864	1060
821	4867	1054
822	4870	1047
823	4873	1040
824	4876	1034
825	4879	1027
826	4882	1021
827	4885	1014
828	4888	1008
829	4891	1001
830	4893	995
831	4896	988
832	4900	982
833	4903	976
834	4906	969
835	4909	963
836	4912	956
837	4915	950
838	4918	943
839	4920	937
840	4923	930
841	4926	924
842	4930	918
843	4933	911
844	4936	905
845	4939	899
846	4942	892
847	4945	886
848	4949	880
849	4952	873
850	4955	867
851	4959	861
852	4962	855
853	4965	848
854	4968	842
855	4971	836
856	4976	830
857	4984	824
858	4992	819
859	4997	813
860	5000	807
861	5003	801
862	5006	794
863	5009	788
864	5013	782
865	5016	776
866	5020	770
867	5024	764
868	5027	757
869	5030	751
870	5033	745
871	5036	739
872	5039	733
873	5042	726
874	5044	720
875	5047	714
876	5050	708
877	5053	702
878	5056	695
879	5058	689
880	5062	683
881	5065	677
882	5068	671
883	5071	665
884	5074	659
885	5077	653
886	5080	647
887	5083	641
888	5086	635
889	5088	628
890	5091	622
891	5094	616
892	5098	610
893	5101	604
894	5103	598
895	5106	592
896	5109	586
897	5112	580
898	5115	574
899	5118	568
900	5121	562
901	5124	556
902	5126	550
903	5130	544
904	5133	538
905	5136	532
906	5139	526
907	5141	520
908	5144	515
909	5147	509
910	5150	503
911	5153	497
912	5156	491
913	5159	485
914	5162	479
915	5165	473
916	5168	467
917	5170	461
918	5173	455
919	5176	450
920	5178	444
